timestamp,voltaje_r,voltaje_s,voltaje_t,corriente_r,corriente_s,corriente_t
2026-05-21 20:44:50,223.4601,223.8222,223.6894,108.6622,109.4428,108.7901

2026-05-21 20:45:41,222.0001,222.4926,222.3241,107.7152,108.5846,108.0204

2026-05-21 20:45:55,221.7678,221.8425,221.7473,107.6413,108.5564,107.9637

2026-05-21 20:45:56,222.5299,222.7240,222.6666,107.9818,108.8356,108.2107

2026-05-21 20:45:56,222.5299,222.7240,222.6666,107.9818,108.8356,108.2107

2026-05-21 20:45:57,222.5299,222.7240,222.6666,107.9818,108.8356,108.2107

2026-05-21 20:45:57,222.8267,222.8477,222.8530,107.1994,107.7248,107.4265

2026-05-21 20:45:58,222.8267,222.8477,222.8530,107.1994,107.7248,107.4265

2026-05-21 20:45:58,222.8267,222.8477,222.8530,107.1994,107.7248,107.4265

2026-05-21 20:45:58,224.2698,224.3522,224.1256,105.1967,105.7806,105.2899

2026-05-21 20:46:41,222.6606,222.9171,222.7469,107.0865,107.8898,107.3041

2026-05-21 20:47:41,223.1388,223.2792,223.1183,105.7683,106.5112,105.9605

2026-05-21 20:48:41,223.5824,224.1124,223.8310,105.7039,106.5681,105.9742

2026-05-21 20:49:41,222.1008,222.2586,222.0950,107.4217,108.1456,107.6101

